,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
6143,6144,4,1,4,3,243,4,1,0,9,4811,0
4309,4310,4,2,3,5,142,2,1,0,8,4914,0
865,866,4,2,6,1,168,5,0,0,65,1601,1
6181,6182,4,0,3,4,201,3,0,1,7,4887,1
10020,10021,3,2,3,3,158,2,1,0,4,5960,0
10876,10877,2,2,3,3,141,2,1,1,2,5923,0
7309,7310,4,2,4,2,268,2,2,0,8,4219,0
8178,8179,3,2,5,3,210,3,1,1,5,4560,1
10808,10809,0,1,2,4,155,5,1,1,9,1740,1
962,963,0,0,3,2,180,4,2,1,52,1329,1
8167,8168,4,2,4,2,185,3,1,1,1,4786,0
7255,7256,4,1,4,1,152,2,0,1,2,5396,0
4505,4506,4,1,4,4,142,10,0,0,7,5425,1
3309,3310,1,2,4,3,271,3,2,1,1,4137,0
2166,2167,3,1,3,4,244,3,1,0,46,2844,1
363,364,1,2,4,3,187,4,0,0,29,3141,1
3723,3724,1,2,3,2,226,3,2,1,3,4940,1
2825,2826,4,2,3,3,225,2,2,1,55,2259,1
3597,3598,1,2,3,5,118,4,1,0,10,5699,1
546,547,3,0,5,5,147,4,0,0,42,1642,1
2940,2941,3,2,3,1,263,3,2,1,6,2715,1
471,472,1,2,4,3,244,3,2,1,8,3318,1
1641,1642,1,0,5,4,258,2,2,0,24,2878,1
3338,3339,0,2,3,4,255,2,2,0,7,4332,1
8541,8542,1,2,4,4,224,10,2,0,9,4149,0
1172,1173,0,2,5,2,158,3,2,1,16,1499,1
4341,4342,1,2,5,3,260,2,1,1,10,5633,0
10298,10299,0,2,5,5,148,4,2,0,4,5909,0
6843,6844,1,1,4,5,134,10,2,1,5,4244,0
6915,6916,1,2,5,3,262,5,1,0,10,1197,1
7897,7898,4,2,3,4,163,3,0,0,6,5912,0
9841,9842,4,1,5,4,208,6,2,1,8,5098,0
1410,1411,3,2,3,4,110,3,1,0,55,1281,1
5858,5859,0,2,2,5,279,3,1,0,8,4632,0
4847,4848,4,2,3,3,101,2,2,1,9,4860,0
9575,9576,4,1,5,5,199,3,0,1,6,5547,1
9603,9604,1,0,5,3,206,2,2,1,7,4531,1
7974,7975,3,2,4,5,137,3,2,1,1,4861,0
815,816,4,1,4,2,200,4,1,1,43,2747,1
2131,2132,4,2,3,3,109,2,2,1,18,1661,1
1797,1798,1,0,5,4,229,2,2,1,9,3667,1
3122,3123,0,2,4,1,237,4,2,0,22,2231,1
5380,5381,2,2,4,5,228,2,1,0,4,4783,1
4275,4276,1,2,4,4,159,3,1,1,9,4265,1
10185,10186,1,2,6,2,289,5,2,0,10,1607,1
6742,6743,2,2,4,2,200,3,2,1,7,4323,0
5511,5512,1,2,6,2,309,4,1,1,7,1941,0
10086,10087,3,2,4,3,260,3,1,1,1,4796,0
6084,6085,3,2,2,1,192,3,1,0,9,4774,0
237,238,1,2,2,2,133,3,1,1,5,1268,1
1532,1533,0,2,3,5,166,3,0,0,31,1117,1
10364,10365,0,2,4,4,246,3,2,0,2,4150,0
4656,4657,3,0,3,1,185,3,2,1,7,5474,1
3410,3411,0,1,3,1,134,3,1,0,7,5802,1
7659,7660,1,1,3,5,159,2,0,0,9,4099,1
10030,10031,2,2,4,4,186,3,1,0,8,4969,1
1535,1536,4,2,3,1,137,3,1,1,47,1611,1
3879,3880,1,2,5,2,175,3,1,1,1,4019,0
1299,1300,1,2,3,4,160,2,2,1,32,1085,1
9682,9683,2,2,6,5,254,4,2,1,4,1887,1
7598,7599,0,2,3,1,179,2,2,1,2,4085,0
1480,1481,2,1,4,1,226,3,1,0,28,2211,1
2793,2794,1,2,3,5,212,3,1,0,19,2703,1
5905,5906,4,0,4,5,143,2,1,1,1,5836,0
10760,10761,0,2,4,5,218,5,1,1,8,1574,1
7346,7347,0,2,3,2,206,2,1,0,7,4185,1
9158,9159,0,1,6,1,283,5,1,0,10,1304,1
7626,7627,3,2,3,3,223,3,1,1,10,5243,1
8802,8803,3,2,3,3,211,3,2,1,3,5379,1
4984,4985,2,2,4,2,196,3,1,1,1,5172,1
3661,3662,4,2,4,1,271,2,1,0,1,4866,0
555,556,1,0,5,4,189,5,1,1,3,3301,1
1163,1164,4,2,3,2,162,2,1,0,54,1614,1
6061,6062,4,2,3,5,271,2,2,1,7,4958,0
397,398,4,1,2,1,123,4,1,0,53,1036,1
7107,7108,1,1,7,1,309,4,1,0,4,1151,0
6427,6428,4,1,3,5,172,3,2,1,1,5024,1
9693,9694,1,2,5,4,245,6,2,1,9,1660,0
7612,7613,2,2,4,2,273,3,1,1,2,5712,0
6398,6399,0,2,3,4,145,3,1,0,7,4079,1
6672,6673,3,2,3,5,153,4,1,0,10,5897,0
723,724,1,2,5,4,140,3,0,0,56,1332,1
300,301,3,2,5,3,127,3,1,0,43,1446,1
9255,9256,1,2,3,2,272,3,1,1,7,5657,1
4294,4295,2,2,3,4,253,3,0,0,8,5857,0
4397,4398,4,0,5,2,143,4,1,0,10,5400,0
4185,4186,1,2,5,5,228,4,1,1,6,4946,1
5278,5279,2,2,6,4,298,4,2,1,9,1629,0
7607,7608,4,2,3,3,201,2,1,0,2,5361,0
10816,10817,2,1,3,3,176,3,2,1,9,5575,0
3142,3143,2,1,4,4,135,3,1,0,4,4651,1
9837,9838,1,1,5,5,268,4,1,0,9,4208,0
3205,3206,4,2,5,3,194,3,1,0,1,4331,0
9980,9981,0,1,4,3,227,3,2,1,8,5829,1
10533,10534,1,1,3,2,188,3,2,1,8,5709,0
5484,5485,3,0,4,5,236,3,1,1,8,4132,0
7020,7021,3,2,5,3,270,2,1,0,7,5248,1
1152,1153,3,2,4,1,135,10,2,1,35,1989,1
1212,1213,3,1,2,4,187,3,1,1,50,3878,1
7518,7519,3,1,6,2,260,3,1,1,2,4071,0
10678,10679,2,1,3,3,241,3,1,0,6,5261,0
7899,7900,1,2,5,5,261,5,2,1,9,5385,0
5861,5862,4,2,3,2,224,3,1,0,7,5896,0
7886,7887,0,2,5,1,169,4,1,1,6,4253,1
665,666,4,1,3,3,243,2,2,1,17,3230,1
642,643,3,2,4,1,240,2,1,1,14,2437,1
10175,10176,4,2,3,2,174,3,1,0,3,5207,1
3767,3768,4,2,5,4,189,3,1,1,7,4741,1
4272,4273,3,2,3,2,214,3,2,1,1,5362,0
4574,4575,0,2,4,2,271,3,2,0,4,5902,0
786,787,3,2,4,2,210,3,1,1,16,2046,1
7762,7763,2,2,6,2,259,5,2,1,1,1357,0
3202,3203,2,2,3,3,132,2,1,0,9,4355,1
10138,10139,2,0,6,2,284,4,1,0,7,1181,1
4187,4188,4,2,4,4,206,3,2,0,10,4262,0
7013,7014,4,2,3,5,251,4,2,0,3,5215,1
8014,8015,2,2,4,1,263,5,1,1,8,1426,1
2905,2906,4,2,4,2,232,3,0,1,46,2835,1
5333,5334,4,1,3,2,158,3,2,1,4,5335,0
996,997,3,2,4,3,151,4,2,1,13,1583,1
7234,7235,2,1,6,3,175,4,1,1,3,4143,0
7599,7600,1,2,5,3,245,4,1,1,1,5743,0
5642,5643,0,2,4,4,193,3,1,1,5,5090,1
156,157,3,2,6,3,275,5,1,1,41,2491,1
6412,6413,2,1,3,2,215,2,2,1,7,5988,1
3085,3086,4,2,4,1,213,3,1,0,21,3585,1
7174,7175,2,2,5,5,271,4,1,1,9,1989,0
7578,7579,3,2,4,4,188,3,1,1,7,5720,0
5062,5063,2,1,6,2,140,2,0,1,1,4053,0
10139,10140,4,0,4,5,258,5,1,1,3,1162,0
3795,3796,1,2,3,5,252,3,0,0,4,4248,0
495,496,1,2,3,1,197,5,1,1,45,2224,1
2321,2322,4,1,5,5,192,3,2,0,37,2197,1
8898,8899,3,1,6,5,253,4,1,1,2,1893,1
7778,7779,0,2,5,2,179,3,2,1,5,4325,1
151,152,4,0,5,3,98,5,2,1,44,1269,1
10404,10405,3,1,5,3,243,6,1,0,1,1856,0
5377,5378,4,2,5,1,170,4,0,1,6,5258,1
10035,10036,1,2,3,3,219,3,0,1,5,4321,0
1738,1739,2,2,4,5,208,2,2,1,33,2170,1
3001,3002,4,1,3,3,203,3,1,1,4,3114,1
9776,9777,0,2,3,1,192,3,2,1,4,4997,1
6105,6106,1,2,3,5,186,3,2,1,7,4764,0
5632,5633,2,0,5,4,217,2,2,0,3,5925,0
9924,9925,3,2,6,2,267,4,1,1,10,1580,0
2883,2884,1,0,3,1,248,3,1,1,9,2616,1
3720,3721,3,2,4,5,224,2,1,1,6,4994,0
7034,7035,0,2,4,2,257,3,1,1,3,5549,1
9395,9396,4,2,6,3,255,4,1,1,6,1654,1
7095,7096,1,2,5,2,195,6,0,1,5,5339,1
4822,4823,2,2,6,3,260,4,2,1,9,1800,0
2276,2277,0,2,3,4,209,2,1,1,62,2935,1
343,344,4,2,2,5,248,6,1,0,62,2750,1
4136,4137,0,2,5,3,170,3,2,1,10,4198,0
7732,7733,2,2,6,2,246,4,1,1,4,1555,0
5130,5131,3,2,4,5,172,2,2,1,7,4559,0
2223,2224,1,2,4,1,97,2,0,1,15,1836,1
4196,4197,0,2,4,3,216,2,1,0,6,4005,0
6399,6400,1,2,3,2,211,4,0,1,1,5831,1
7764,7765,3,2,6,1,280,4,2,1,6,1735,1
8789,8790,4,2,4,3,175,3,1,0,9,4840,1
6123,6124,1,2,3,5,144,2,2,1,2,4629,1
5427,5428,1,2,5,4,237,6,2,1,2,4541,0
10064,10065,0,2,3,1,258,2,1,0,4,5262,0
8358,8359,3,0,6,4,275,4,2,0,5,1989,0
1465,1466,4,2,4,3,232,3,1,1,11,2624,1
2234,2235,0,2,4,5,168,3,1,0,4,1363,1
10629,10630,1,2,4,5,274,4,1,1,3,5145,0
3903,3904,1,2,4,1,237,3,1,0,10,5381,0
6965,6966,4,1,4,5,268,6,2,0,7,4709,0
7405,7406,4,0,5,3,225,5,1,0,6,1082,0
9997,9998,4,0,5,5,180,2,0,1,5,4585,1
9314,9315,0,0,3,1,230,2,1,0,4,4387,1
6127,6128,4,2,3,2,136,3,0,0,2,5739,0
4151,4152,4,2,4,4,177,2,1,0,6,5116,0
5332,5333,2,1,4,3,158,4,2,1,7,4460,0
2121,2122,1,2,4,4,168,2,2,1,63,1474,1
5094,5095,3,2,4,3,133,2,1,1,9,4145,0
8500,8501,2,0,3,1,157,2,2,1,7,5560,0
10516,10517,2,2,3,4,154,2,0,0,2,4998,0
3161,3162,4,0,5,1,231,7,0,0,9,5558,0
2630,2631,0,2,3,5,185,2,2,1,27,3624,1
5928,5929,3,2,5,2,244,5,2,0,7,5515,0
10561,10562,4,0,2,4,183,2,1,1,5,5335,1
6622,6623,2,2,6,5,152,4,2,0,8,5351,0
9889,9890,4,2,4,5,232,5,1,0,3,1817,0
1203,1204,1,2,4,1,257,3,1,1,47,1308,1
10520,10521,0,2,4,4,184,3,2,0,9,4500,0
616,617,2,2,5,5,143,2,0,0,18,1066,1
1926,1927,3,0,3,1,264,4,1,1,33,3561,1
3114,3115,3,2,4,2,217,3,1,1,1,3133,1
2641,2642,4,2,4,4,163,2,1,0,41,1634,1
9883,9884,4,2,7,4,277,5,1,1,4,1373,0
2562,2563,3,2,4,3,191,3,0,0,45,3714,1
5893,5894,4,0,4,1,260,4,1,1,2,4091,1
2728,2729,2,1,4,4,179,3,1,1,48,1943,1
4693,4694,4,2,3,3,249,2,1,0,2,5078,0
8757,8758,1,1,5,3,197,5,1,0,1,5581,0
2126,2127,0,2,4,5,242,4,1,0,35,3215,1
5226,5227,3,2,4,1,231,2,1,0,1,5917,1
10525,10526,4,1,3,2,164,2,2,0,3,4666,0
8168,8169,0,2,5,5,193,4,2,1,8,5714,0
8968,8969,2,2,3,2,209,2,1,1,9,5203,0
805,806,4,1,4,1,133,3,1,1,57,1379,1
9773,9774,4,2,3,5,174,6,1,1,6,5713,0
8161,8162,4,2,3,5,241,3,1,0,4,4132,0
4280,4281,0,2,4,5,135,3,2,0,5,4515,0
8971,8972,4,2,3,3,261,3,1,1,2,5629,1
6786,6787,3,2,5,2,237,4,1,1,5,5623,1
4851,4852,1,2,3,5,206,4,2,0,2,5829,1
547,548,4,0,5,4,245,5,1,1,6,3592,1
26,27,0,2,4,1,172,3,0,0,24,1066,1
9822,9823,3,2,3,3,149,4,1,0,2,5282,0
3918,3919,3,2,5,1,170,4,1,0,4,4855,1
4486,4487,2,2,3,4,174,3,2,0,4,4051,0
7082,7083,0,2,4,5,98,4,1,0,5,4643,0
4900,4901,2,2,4,4,163,6,2,1,1,4584,0
1221,1222,1,1,4,5,265,3,2,0,41,3101,1
6083,6084,4,2,5,1,261,4,0,0,6,4852,0
2548,2549,2,2,3,1,143,6,2,1,2,1323,1
437,438,4,2,5,2,186,3,2,0,15,2153,1
5321,5322,4,1,3,4,273,3,1,1,3,5163,1
9321,9322,1,0,3,2,189,3,2,0,2,4152,1
1861,1862,4,2,5,1,256,7,1,0,50,3837,1
2699,2700,4,2,4,2,179,3,0,0,30,1076,1
7195,7196,4,2,6,1,306,4,2,1,8,1378,0
5640,5641,3,2,4,2,227,5,2,1,6,4618,0
2481,2482,1,0,3,3,142,3,2,1,23,1897,1
7049,7050,4,2,3,4,261,2,1,0,1,5844,0
9290,9291,0,1,3,2,179,3,2,1,9,5224,1
2706,2707,3,2,4,3,174,3,1,0,5,1502,1
326,327,0,2,3,4,173,3,2,1,52,1587,1
2499,2500,1,2,3,4,240,2,1,1,8,3883,1
1004,1005,0,2,3,2,146,6,2,0,62,1162,1
5297,5298,4,2,3,2,263,3,2,0,3,4181,0
5474,5475,0,1,4,4,253,2,1,0,6,5892,0
4011,4012,1,2,2,4,238,3,2,1,4,5782,1
9770,9771,0,2,3,2,196,5,2,0,6,5692,0
534,535,3,1,3,2,245,3,1,0,61,2188,1
9015,9016,1,1,4,3,141,2,1,0,8,4331,0
3960,3961,3,1,4,2,237,3,1,1,1,5114,0
585,586,1,2,3,3,234,3,2,0,8,2334,1
9082,9083,2,2,5,5,167,3,2,1,9,4319,1
10741,10742,4,2,5,3,218,5,2,0,4,1433,0
9441,9442,1,1,4,1,238,5,2,0,3,1913,0
5350,5351,2,0,5,5,103,6,2,0,2,4860,0
8337,8338,1,1,5,4,271,5,1,1,4,1320,0
491,492,4,2,5,4,224,3,1,0,34,2627,1
9933,9934,1,2,5,5,235,5,1,1,4,1758,0
5821,5822,4,2,4,4,276,2,2,0,3,4306,1
4812,4813,3,2,6,4,300,4,1,0,8,1301,1
5736,5737,3,1,4,5,188,3,1,1,4,4632,0
8660,8661,0,2,4,2,271,5,2,1,4,1633,1
3548,3549,0,1,4,5,168,4,2,1,5,5735,1
1916,1917,0,0,2,5,189,2,1,1,38,3708,1
3185,3186,4,2,3,3,162,8,0,0,10,4842,0
9622,9623,2,2,5,2,266,10,0,1,9,4784,1
1910,1911,0,1,4,5,162,3,1,0,31,1170,1
6499,6500,4,2,6,1,287,4,2,0,1,1581,0
7692,7693,3,2,5,2,146,7,1,1,7,5204,0
1133,1134,4,2,4,2,227,2,0,1,35,3583,1
6277,6278,4,1,7,5,296,4,1,1,8,1686,1
2518,2519,2,2,3,4,175,3,2,1,4,1519,1
7681,7682,4,0,5,3,254,2,2,0,5,4764,1
1317,1318,1,2,4,4,111,6,1,1,8,1145,1
4368,4369,3,1,5,3,217,3,1,1,6,4934,1
121,122,4,1,3,3,205,3,2,0,19,2167,1
8983,8984,4,2,5,5,198,2,0,1,3,5249,0
2449,2450,4,1,4,5,225,4,1,1,48,2767,1
8341,8342,4,1,6,4,285,4,2,0,10,1422,0
5274,5275,3,2,7,5,292,5,1,1,5,1932,1
2601,2602,1,0,4,2,238,3,1,1,30,3423,1
8132,8133,0,2,4,4,247,2,2,1,9,5095,0
8048,8049,0,2,7,3,245,4,2,0,10,1610,1
2173,2174,4,1,4,3,268,3,2,0,23,2996,1
3283,3284,4,0,2,2,155,3,1,1,1,5154,0
4554,4555,3,2,6,4,275,4,1,0,4,1192,1
3605,3606,4,2,4,1,276,2,2,1,3,1966,0
5216,5217,0,0,6,2,293,5,1,1,2,1494,0
9992,9993,0,1,6,3,223,2,2,1,7,5007,0
3768,3769,3,2,4,1,240,4,1,1,9,4471,1
6958,6959,2,2,3,4,255,2,1,1,2,4504,0
4038,4039,3,2,2,4,271,8,2,0,10,4183,0
3502,3503,2,2,3,1,135,2,2,1,2,4163,0
1407,1408,1,2,4,4,185,3,1,1,13,2080,1
10239,10240,1,2,5,2,218,3,1,1,4,5363,1
5601,5602,1,1,4,3,138,3,0,1,2,5358,0
10955,10956,4,0,2,5,125,4,1,1,5,5866,0
2579,2580,4,1,4,2,128,5,1,0,28,1247,1
4672,4673,2,0,5,3,256,2,1,1,3,4456,0
3269,3270,4,1,2,2,160,3,2,0,9,4613,0
10515,10516,1,2,2,3,275,3,2,1,10,4183,1
1867,1868,4,2,4,3,163,3,1,1,52,1891,1
10901,10902,4,2,4,4,201,2,2,1,7,4320,0
5026,5027,2,2,6,3,256,5,1,0,1,1980,0
2521,2522,4,2,6,4,221,10,2,1,42,2972,1
6759,6760,1,2,5,2,192,3,0,0,7,5695,1
1820,1821,0,2,4,3,201,2,2,0,18,3461,1
5431,5432,4,2,4,4,261,3,0,1,9,5515,0
51,52,1,2,4,4,141,3,1,1,22,1735,1
3888,3889,3,2,5,3,237,2,2,1,3,5113,0
6670,6671,2,2,3,2,243,4,2,1,4,4410,1
3577,3578,4,0,4,1,102,3,2,1,3,4179,0
4565,4566,4,2,6,2,282,5,2,1,5,1818,1
9368,9369,0,2,3,3,189,3,2,0,1,5896,1
8612,8613,0,1,5,1,242,5,1,1,9,1767,0
1858,1859,2,2,2,2,190,3,1,1,51,2380,1
7246,7247,2,1,3,1,186,2,2,1,3,5818,0
10493,10494,4,2,3,3,151,3,1,1,9,5082,0
6101,6102,4,2,4,2,195,3,2,1,8,5198,0
5998,5999,2,2,6,2,266,4,1,0,9,1220,0
10377,10378,1,2,4,3,165,2,1,1,2,5210,0
10157,10158,4,2,4,5,163,3,2,1,1,4049,1
425,426,4,0,4,3,158,3,2,0,57,1911,1
4284,4285,3,2,5,5,165,4,2,0,3,4242,0
6866,6867,0,0,7,1,302,4,1,1,4,1647,0
5306,5307,0,2,4,4,252,3,2,1,1,5676,1
228,229,3,2,3,2,164,10,0,1,14,1375,1
9568,9569,2,1,4,2,169,3,1,1,10,4309,1
2741,2742,4,0,4,2,171,3,1,0,40,1021,1
9634,9635,2,2,7,3,289,4,1,0,3,1037,1
5020,5021,2,2,6,3,292,4,1,1,8,1925,0
6497,6498,4,2,6,2,286,4,1,0,3,1959,0
2921,2922,4,2,3,1,257,2,2,1,37,3517,1
9287,9288,4,2,3,5,150,2,2,1,10,5187,0
3653,3654,4,2,5,3,267,3,1,1,9,5258,1
5899,5900,4,0,4,5,137,2,1,1,7,4068,0
8751,8752,1,1,5,1,251,4,2,1,10,5931,0
1128,1129,3,2,4,4,145,4,1,0,35,1210,1
9541,9542,4,2,3,4,171,3,1,1,10,4839,0
2331,2332,1,0,4,3,238,2,2,1,43,2200,1
2208,2209,3,0,3,1,184,2,1,0,31,3191,1
6120,6121,3,2,4,2,142,3,2,0,3,4644,0
9808,9809,2,2,4,5,240,6,2,0,9,5498,1
10159,10160,4,2,5,3,179,6,2,1,1,4930,1
3153,3154,1,0,3,2,153,10,0,1,2,5455,0
5407,5408,4,2,3,3,192,3,1,0,1,4180,1
8921,8922,4,0,4,5,250,5,2,1,6,1662,0
7552,7553,2,2,4,2,220,2,1,0,6,5543,0
10569,10570,1,2,4,4,156,2,1,0,5,5216,0
2374,2375,2,2,4,1,270,4,2,0,64,3312,1
1632,1633,3,1,3,4,204,3,1,0,49,3225,1
8437,8438,4,2,5,1,267,4,1,1,5,5792,0
2298,2299,3,2,4,5,132,4,2,0,28,1715,1
6135,6136,1,2,4,3,162,3,1,1,4,5913,1
4252,4253,2,0,4,3,249,4,2,1,10,4933,0
6740,6741,0,2,6,3,210,4,2,1,9,5440,0
8156,8157,0,2,3,1,250,2,1,0,5,4232,0
8426,8427,0,2,3,4,240,2,2,0,2,5661,0
6351,6352,1,2,5,2,216,4,2,0,9,5804,0
9410,9411,0,2,4,4,258,5,1,1,7,1261,1
6725,6726,4,0,4,1,152,3,2,0,3,4250,1
8160,8161,3,2,4,3,209,5,2,1,6,4384,0
9294,9295,3,1,4,2,217,2,1,1,4,5539,0
4913,4914,4,1,3,1,166,2,1,1,2,5710,1
6515,6516,4,2,6,2,293,5,2,0,4,1281,0
10398,10399,3,1,4,4,146,10,1,0,3,4152,1
10346,10347,0,2,3,2,259,6,2,1,1,5873,0
6746,6747,0,2,4,5,202,3,2,1,8,5416,0
8964,8965,3,2,5,1,185,3,2,0,7,4855,1
2550,2551,3,2,3,1,178,3,1,0,11,1481,1
5156,5157,0,2,5,4,181,5,2,1,2,5324,0
938,939,0,1,5,3,236,3,2,1,7,3589,1
6208,6209,2,2,5,3,258,2,1,0,10,5371,1
9769,9770,4,2,4,4,246,3,1,0,7,4090,0
6539,6540,4,2,6,2,300,5,1,1,3,1696,0
10700,10701,0,0,2,5,277,3,2,0,6,1057,0
2644,2645,2,2,4,3,264,2,1,0,38,3877,1
9626,9627,0,2,4,2,275,5,2,1,5,1900,0
3165,3166,1,0,3,1,178,3,1,1,3,4811,0
3639,3640,1,2,5,2,259,2,2,1,1,4607,0
9695,9696,4,2,6,3,245,4,2,1,3,1772,1
2061,2062,1,0,4,2,233,7,2,1,64,3146,1
4645,4646,4,1,4,1,140,5,2,1,6,4001,1
9639,9640,1,2,5,4,191,3,0,0,7,4435,1
2812,2813,2,2,3,2,173,3,2,0,37,1990,1
10330,10331,2,2,5,3,210,6,1,1,6,4203,1
9515,9516,4,2,3,1,150,2,1,0,6,5697,0
9908,9909,0,2,4,5,258,5,2,1,2,1481,0
2549,2550,4,2,3,3,176,2,2,1,34,1856,1
8719,8720,4,2,4,4,265,4,2,0,6,4607,1
9448,9449,2,0,4,2,223,6,1,0,10,1650,1
5227,5228,4,2,5,1,187,4,2,0,8,5164,0
4174,4175,2,2,6,1,215,5,2,0,5,4362,0
9642,9643,3,2,5,2,137,3,1,0,1,5242,0
1024,1025,2,2,3,2,221,3,1,0,21,3686,1
4890,4891,3,2,3,4,232,3,1,0,6,4050,0
8368,8369,2,0,4,4,147,3,2,1,9,4534,1
1951,1952,4,2,5,1,165,3,1,0,27,1905,1
9691,9692,4,2,6,5,275,4,1,1,2,1700,1
351,352,1,2,5,5,171,2,2,0,22,1695,1
9824,9825,0,2,4,3,287,5,2,1,6,4376,1
8926,8927,2,2,6,2,255,4,2,0,3,1355,0
3662,3663,0,2,4,3,272,2,2,0,5,4681,1
6125,6126,4,2,3,2,260,3,1,1,9,4591,1
4657,4658,4,0,4,1,273,2,0,0,10,5832,1
8875,8876,4,2,5,4,225,5,1,0,6,2000,0
3150,3151,3,0,3,3,238,8,2,0,3,4943,0
5234,5235,0,2,5,5,271,4,0,1,10,4305,1
6298,6299,2,0,6,5,253,4,2,1,1,1977,0
7369,7370,4,2,5,4,211,2,2,0,7,4734,0
2939,2940,4,2,3,1,139,2,1,1,47,1241,1
4510,4511,2,1,4,2,108,10,2,1,5,4645,0
1340,1341,0,2,4,2,183,4,1,1,15,3632,1
10319,10320,4,2,3,3,169,2,2,0,8,4281,1
7717,7718,4,2,6,5,276,4,1,1,3,1136,0
8869,8870,4,2,4,4,261,5,2,0,2,1829,0
5617,5618,4,0,5,4,281,3,1,0,10,5675,0
8566,8567,2,2,4,5,183,4,1,1,3,5881,0
5360,5361,0,2,3,3,223,3,2,0,4,5062,1
1583,1584,4,2,5,5,214,3,1,0,31,2033,1
1412,1413,0,2,6,2,118,2,1,0,2,1744,1
5009,5010,4,2,4,3,263,3,1,0,3,5253,0
9640,9641,2,2,4,3,231,3,2,1,8,4991,0
2256,2257,3,2,3,4,230,3,0,0,22,3546,1
8139,8140,1,2,3,3,181,3,1,0,10,5337,0
2212,2213,2,2,6,1,105,5,1,0,57,1784,1
2622,2623,3,2,5,3,149,3,2,0,43,1005,1
6464,6465,0,2,5,4,216,3,2,0,2,5404,1
3624,3625,3,2,2,5,233,3,2,1,10,5211,1
10370,10371,0,2,4,1,259,3,1,1,9,5148,1
4267,4268,4,2,4,1,169,4,1,0,10,4245,0
9899,9900,4,2,3,1,109,6,1,0,6,5457,1
463,464,4,2,4,2,186,7,2,0,40,3111,1
1754,1755,0,1,6,5,260,4,0,1,10,2756,1
8462,8463,0,2,4,5,252,4,1,0,6,4983,0
5359,5360,4,0,4,4,145,2,2,1,8,5645,1
10531,10532,4,1,5,4,236,4,2,1,6,4457,0
6117,6118,1,2,6,4,271,3,1,0,7,5192,1
378,379,3,2,3,5,152,3,1,1,43,1282,1
3106,3107,2,2,4,2,175,3,2,0,34,1005,1
1335,1336,1,2,4,2,256,2,2,1,10,3128,1
10667,10668,4,1,4,3,263,6,2,1,8,1123,1
2716,2717,2,1,4,3,146,3,1,1,41,1140,1
6086,6087,0,2,4,3,246,2,1,1,6,4908,0
10983,10984,1,2,4,3,229,6,2,1,1,1235,1
9264,9265,3,2,4,3,255,4,2,0,10,4740,0
6505,6506,4,2,5,1,254,5,2,1,10,1020,0
1811,1812,4,2,3,5,187,2,2,0,50,2598,1
1894,1895,2,1,3,2,168,3,1,1,15,1862,1
8079,8080,1,0,4,3,117,3,2,0,4,4666,0
5331,5332,1,1,4,1,197,3,1,1,2,4326,0
6189,6190,1,2,4,4,274,2,1,0,3,4257,0
1189,1190,4,2,4,2,173,2,1,0,30,1336,1
5727,5728,1,1,7,5,291,4,0,1,6,1135,0
4880,4881,0,2,3,3,218,3,1,0,4,5086,1
3454,3455,2,2,4,4,149,3,1,0,8,5658,1
6451,6452,4,0,3,3,251,3,2,1,2,5972,0
4868,4869,0,2,4,3,280,6,0,1,8,4525,0
10943,10944,4,1,5,3,261,5,2,1,10,1434,1
9341,9342,4,2,6,1,141,3,1,0,2,5144,0
8216,8217,0,0,6,5,143,5,0,1,9,4060,0
4613,4614,4,2,3,2,142,2,1,1,7,4082,0
3992,3993,0,2,5,4,178,5,1,0,9,4729,1
10183,10184,4,2,5,3,233,5,2,0,3,1398,0
1030,1031,2,2,4,1,239,2,0,1,16,2504,1
5652,5653,3,2,3,5,196,3,2,0,9,4741,1
2220,2221,3,2,6,1,229,6,1,1,35,3239,1
3774,3775,3,2,4,2,204,2,1,0,1,4533,0
7464,7465,3,2,6,5,290,4,1,1,6,1929,0
8547,8548,1,2,3,3,240,3,1,0,5,4888,1
1755,1756,1,1,5,3,160,3,0,1,25,1977,1
5206,5207,2,0,5,5,230,10,0,1,10,5619,1
10218,10219,3,2,5,3,274,5,2,1,7,1696,1
4327,4328,4,2,5,3,104,4,1,1,3,4885,1
110,111,0,1,3,1,158,2,1,1,2,1284,1
8452,8453,2,2,3,1,268,4,1,1,10,5226,1
8158,8159,2,2,3,2,227,3,2,1,6,5058,0
2917,2918,4,2,4,4,176,3,2,1,53,1472,1
1515,1516,1,0,4,4,261,3,1,0,33,3678,1
10401,10402,1,1,4,2,187,3,0,0,5,4897,1
10146,10147,3,0,6,3,289,5,2,0,1,1949,1
9978,9979,3,1,4,1,208,3,2,0,7,4592,0
9263,9264,4,2,3,5,148,2,2,0,9,5095,1
2263,2264,4,2,3,5,225,3,1,0,1,2864,1
8809,8810,4,2,3,1,203,10,2,0,7,5917,1
10475,10476,4,2,5,1,258,5,0,0,9,1856,1
9353,9354,4,2,6,3,285,4,2,0,1,1606,0
7307,7308,4,2,2,5,101,3,1,1,10,4353,0
893,894,4,2,3,2,232,2,1,0,39,2139,1
1490,1491,0,1,4,4,204,4,2,0,35,2513,1
1850,1851,0,2,3,4,203,3,1,1,18,3127,1
