,GpsProvider,Market/Regular ,vehicle_no,Origin_Location,Destination_Location,Planned_ETA,ontime,OriginLocation_Code,DestinationLocation_Code,trip_start_date,TRANSPORTATION_DISTANCE_IN_KM,vehicleType,customerID,supplierID,Material Shipped,Org_lat,Org_lon,Des_lat,Des_lon
4829,3,0,1035,104,275,141,0.0,127,135,126,601.0,35,15,26,405,16.560192249175344,80.79229309159955,26.759452,84.45927
5669,12,0,773,65,368,70,0.0,127,281,64,26.0,34,15,42,571,16.560192249175344,80.79229309159955,17.556417,78.099421
3955,3,0,586,82,70,195,0.0,127,159,178,31.0,34,15,27,77,16.560192249175344,80.79229309159955,12.777874729699617,77.64227553734709
2471,3,0,1454,125,244,314,0.0,97,112,283,2750.0,32,6,12,654,18.750621,73.87719,26.131293,91.749014
4841,3,0,300,113,338,158,0.0,127,205,142,131.0,34,15,95,89,16.560192249175344,80.79229309159955,28.367355,76.985908
241,17,0,1010,56,339,360,0.0,29,13,327,2425.0,32,7,192,820,28.373519,76.835337,12.786517,79.975221
4026,3,0,829,61,381,194,0.0,127,180,177,35.0,34,15,76,13,16.560192249175344,80.79229309159955,19.106367,72.889947
696,22,0,1273,108,334,354,1.0,16,397,324,1200.0,29,5,164,625,12.930429,79.931163,18.750621,73.87719
2244,5,0,390,56,339,325,1.0,29,13,294,2425.0,29,7,116,77,28.373519,76.835337,12.786517,79.975221
2687,3,0,493,125,342,312,0.0,97,50,281,1175.0,32,6,194,77,18.750621,73.87719,27.236458,75.91729
2032,3,0,194,98,319,322,0.0,23,89,294,1626.0,32,24,137,571,13.017016,79.481638,22.105618,73.152148
4831,3,0,800,61,325,156,0.0,127,188,141,35.0,34,15,73,405,16.560192249175344,80.79229309159955,18.998875,72.854548
115,3,0,1363,87,154,362,1.0,27,11,329,530.0,2,0,145,901,11.154594,76.922532,13.187219,80.307731
2157,5,0,337,64,142,325,0.0,35,53,294,900.0,29,7,116,77,22.961777,72.094219,28.373519,76.835337
1538,22,0,1273,108,316,341,0.0,16,393,313,1145.0,29,5,164,77,12.930429,79.931163,18.674382,74.194453
2782,3,0,1126,125,280,302,0.0,102,16,272,1598.0,32,5,201,848,18.750621,73.87719,12.930429,79.931163
2501,3,0,901,125,97,313,0.0,97,95,282,900.0,14,6,94,77,18.750621,73.87719,16.184556,80.332451
2575,11,0,1220,125,280,306,0.0,102,16,276,1290.0,29,5,125,77,18.750621,73.87719,12.930429,79.931163
2511,10,0,567,46,246,321,1.0,44,97,290,215.0,40,25,152,285,12.671093,77.779537,12.683589,77.859239
3702,3,0,888,89,172,206,0.0,130,267,187,158.0,34,15,38,299,26.185619636418977,91.84358193219722,26.688955,92.688447
3295,3,0,809,61,228,241,0.0,127,259,215,370.0,34,15,26,603,16.560192249175344,80.79229309159955,19.901279,74.733707
1525,3,0,628,105,19,343,1.0,48,35,315,2098.0,28,28,147,77,13.025282,77.510345,28.296532,77.419993
4826,3,0,1429,113,318,144,0.0,127,298,129,165.0,34,15,166,405,16.560192249175344,80.79229309159955,29.660051,77.724463
4105,3,0,888,89,278,195,0.0,130,138,177,109.0,34,15,38,77,26.185619636418977,91.84358193219722,25.525186,91.867201
2941,3,0,1420,93,135,309,1.0,111,224,263,43.0,34,15,95,364,28.722966,77.345364,28.476329,77.733763
4891,3,0,586,82,266,143,0.0,127,280,129,35.9,34,15,27,895,16.560192249175344,80.79229309159955,13.01693928244564,77.76302640284463
3755,3,0,1044,43,341,207,0.0,127,228,187,494.0,36,15,26,285,16.560192249175344,80.79229309159955,19.296478,83.122007
775,3,0,596,111,311,346,0.0,112,321,322,12.0,34,15,27,964,13.007503209603689,77.66509885593489,13.0631,77.590597
5302,3,0,647,135,272,145,0.0,156,213,131,25.0,34,15,99,462,10.082622,76.349257,9.960616772167535,76.28550773846042
4888,3,0,586,82,8,133,0.0,127,370,119,49.0,34,15,27,633,16.560192249175344,80.79229309159955,12.896896847817695,77.71222305687486
3880,3,0,1040,43,54,199,0.0,127,345,182,30.0,36,15,41,77,16.560192249175344,80.79229309159955,20.488734,85.838981
5135,3,0,200,23,235,144,0.0,133,246,130,25.0,34,15,92,806,22.917969,72.413979,22.926025,72.484986
4381,3,0,1259,112,98,178,0.0,61,213,156,1515.15,36,15,75,578,17.464871,82.929988,9.960616772167535,76.28550773846042
2358,3,0,1338,87,211,322,1.0,27,98,291,400.0,39,0,118,836,11.154594,76.922532,12.746894,77.806168
2947,11,0,1227,78,280,287,0.0,1,5,259,1290.0,29,5,125,307,18.068686,74.609489,12.930429,79.931163
1579,5,0,356,53,202,338,0.0,11,41,310,2205.0,29,28,116,77,13.010768,79.993135,28.463698,77.333878
2508,5,0,351,56,174,319,1.0,29,87,288,1000.0,29,7,116,77,28.373519,76.835337,22.961777,72.094219
958,11,0,1228,125,280,350,0.0,102,16,322,1290.0,29,5,125,299,18.750621,73.87719,12.930429,79.931163
3302,3,0,1420,113,318,240,0.0,111,298,215,160.0,34,15,95,77,28.658633,77.438643,29.660051,77.724463
5035,3,0,1195,73,360,150,0.0,127,219,135,90.0,34,15,60,346,16.560192249175344,80.79229309159955,12.829465,80.209822
3547,3,0,1481,130,73,230,1.0,113,155,205,671.0,34,15,26,58,23.52526791608896,87.26442434857088,26.32134163730698,89.46587101524545
5323,3,0,1257,136,149,124,0.0,92,168,110,444.0,19,15,218,398,12.829465,80.209822,11.153822,77.773206
1916,22,0,1278,125,280,333,1.0,102,16,302,1290.0,29,5,164,77,18.750621,73.87719,12.930429,79.931163
3210,3,0,1549,130,300,194,0.0,113,154,175,401.0,35,15,26,77,23.52526791608896,87.26442434857088,25.641719007694395,88.12781912972429
4250,3,0,199,124,14,184,0.0,134,246,166,210.0,34,15,92,178,23.18918,72.552278,21.724939,72.886993
3211,3,0,1380,65,368,250,0.0,127,281,227,65.0,34,15,77,285,16.560192249175344,80.79229309159955,17.556417,78.099421
2789,5,0,377,128,174,305,0.0,12,88,275,1900.0,32,7,116,285,12.786517,79.975221,22.961777,72.094219
4990,3,0,1262,73,302,142,0.0,127,377,127,177.0,36,15,60,632,16.560192249175344,80.79229309159955,11.986938,79.773631
4795,3,0,257,95,66,158,0.0,106,125,143,25.0,34,15,78,276,26.19229040350968,91.75127677536251,28.4272,77.206024
4253,3,0,255,95,79,131,0.0,106,362,118,25.0,34,15,78,77,26.19229040350968,91.75127677536251,28.589657,77.254884
1331,3,0,708,125,115,345,0.0,97,27,317,1204.0,32,6,137,77,18.750621,73.87719,13.202214,80.131693
5266,10,0,539,111,266,139,0.0,112,280,126,17.5,34,15,27,77,13.007503209603689,77.66509885593489,13.01693928244564,77.76302640284463
4668,3,0,160,23,213,134,0.0,127,137,121,25.0,34,15,82,364,16.560192249175344,80.79229309159955,23.098155,72.59861
4046,3,0,777,70,170,201,1.0,131,375,182,490.0,34,15,75,224,21.109305,78.991035,22.602459,75.55096
3292,3,0,821,61,249,241,0.0,127,235,215,370.0,34,15,26,11,16.560192249175344,80.79229309159955,19.916291,75.177885
4501,3,0,829,61,325,111,0.0,136,188,101,35.0,34,15,76,723,19.031831,73.105454,18.998875,72.854548
3974,3,0,888,89,278,195,0.0,130,138,177,109.0,34,15,38,820,26.185619636418977,91.84358193219722,25.525186,91.867201
5129,3,0,649,135,272,146,0.0,156,213,132,25.0,34,15,99,585,10.082622,76.349257,9.960616772167535,76.28550773846042
3074,3,0,1277,14,212,284,0.0,100,9,256,1350.0,22,11,177,77,19.731725,73.812498,13.154554,80.226555
5403,3,0,1366,65,368,124,0.0,152,281,111,65.0,34,15,46,668,17.462980542108134,78.21925805967179,17.556417,78.099421
2856,3,0,880,106,28,301,0.0,21,37,271,2400.0,30,2,84,77,12.425747,79.880083,30.000345,76.732209
1867,3,0,1474,67,285,268,0.0,106,286,244,210.0,34,15,38,77,26.19229040350968,91.75127677536251,23.176713,86.933714
3525,3,0,1133,89,184,221,0.0,130,312,199,366.0,34,15,38,77,26.185619636418977,91.84358193219722,27.278584,94.089991
5797,25,0,1547,130,164,41,0.0,113,217,39,51.0,35,15,26,591,23.52526791608896,87.26442434857088,22.95210237429815,88.45701479607611
5531,10,0,589,111,36,108,0.0,154,237,98,31.0,34,15,27,931,13.008064025820861,77.66475541769924,13.199089183304451,77.70855423495904
5139,3,0,209,124,388,94,0.0,134,152,85,25.0,36,15,218,806,23.18918,72.552278,23.042185,72.697893
3347,3,0,1427,113,318,211,0.0,111,298,192,160.0,34,15,95,573,28.658633,77.438643,29.660051,77.724463
1504,5,0,348,56,174,347,1.0,29,87,316,1000.0,29,7,116,77,28.373519,76.835337,22.961777,72.094219
4802,3,0,198,23,123,158,0.0,127,128,142,150.0,34,15,92,349,16.560192249175344,80.79229309159955,24.176119,72.449485
5880,10,0,539,82,70,21,1.0,127,159,21,31.0,34,15,27,1,16.560192249175344,80.79229309159955,12.777874729699617,77.64227553734709
1862,3,0,301,105,202,368,1.0,48,41,334,2154.0,22,28,160,124,13.025282,77.510345,28.463698,77.333878
4541,3,0,1035,131,275,166,0.0,117,135,148,601.0,35,15,26,364,25.497687786396394,85.31407605559771,26.759452,84.45927
3316,3,0,300,113,151,237,0.0,111,239,214,66.0,34,15,95,342,28.658633,77.438643,28.430237,77.859596
2054,3,0,1300,125,280,328,0.0,102,16,297,1290.0,29,5,125,77,18.750621,73.87719,12.930429,79.931163
2827,3,0,491,125,342,302,0.0,97,50,272,1175.0,32,6,137,77,18.750621,73.87719,27.236458,75.91729
3050,5,0,356,75,174,286,0.0,12,87,258,1900.0,29,7,116,24,12.767195,80.064668,22.961777,72.094219
2372,3,0,463,128,147,318,0.0,25,55,287,2455.0,32,7,131,856,12.786517,79.975221,28.635325,76.693244
4022,3,0,1360,136,233,195,0.0,92,214,176,562.8,17,15,90,77,12.829465,80.209822,10.638461,76.766656
630,5,0,343,64,142,356,1.0,35,53,324,900.0,32,7,115,719,22.961777,72.094219,28.373519,76.835337
2009,3,0,1359,125,280,329,0.0,102,16,298,1290.0,29,5,105,77,18.750621,73.87719,12.930429,79.931163
711,5,0,457,56,174,348,0.0,29,87,322,1000.0,29,7,115,77,28.373519,76.835337,22.961777,72.094219
3284,3,0,639,111,121,241,0.0,112,209,217,22.7,35,15,26,77,13.007503209603689,77.66509885593489,12.87429,77.779537
1960,3,0,119,15,119,324,1.0,123,258,294,531.0,23,15,35,77,21.581377,81.945298,23.250966,85.241196
122,3,0,1318,64,339,360,0.0,35,13,328,1900.0,29,7,148,814,22.961777,72.094219,12.786517,79.975221
3841,3,0,1499,9,219,202,0.0,129,288,184,127.0,34,15,35,443,23.675623,86.096278,23.272201,85.158306
3088,22,0,1274,46,199,278,0.0,44,14,251,400.0,32,7,164,285,12.671093,77.779537,12.767195,80.064668
5660,10,0,549,82,36,72,0.0,127,237,67,40.0,34,15,27,592,16.560192249175344,80.79229309159955,13.199089183304451,77.70855423495904
3907,3,0,586,111,266,202,0.0,112,280,185,17.0,34,15,27,945,13.007503209603689,77.66509885593489,13.01693928244564,77.76302640284463
4862,3,0,1412,113,75,150,0.0,106,173,135,43.0,34,15,95,806,26.19229040350968,91.75127677536251,28.553524,77.573405
2671,5,0,375,54,142,307,0.0,19,53,277,2300.0,29,16,116,524,13.087428,80.184717,28.373519,76.835337
3917,3,0,563,82,8,199,0.0,127,368,182,49.0,34,15,28,777,16.560192249175344,80.79229309159955,12.722686,77.676518
3182,3,0,1381,65,368,252,0.0,127,281,229,65.0,34,15,218,77,16.560192249175344,80.79229309159955,17.556417,78.099421
2902,22,0,1282,125,280,292,0.0,102,16,263,1290.0,29,5,164,77,18.750621,73.87719,12.930429,79.931163
2427,3,0,260,125,321,317,0.0,97,52,286,1975.0,14,6,191,77,18.750621,73.87719,32.622535,74.932568
2085,22,0,1275,84,71,330,0.0,43,105,302,291.0,29,19,164,77,12.63461,77.722316,13.720071,79.596863
195,13,0,976,4,142,348,0.0,41,53,317,2230.0,29,18,218,324,12.722686,77.676518,28.373519,76.835337
4873,3,0,588,82,315,152,0.0,127,279,137,26.0,35,15,27,806,16.560192249175344,80.79229309159955,12.843107191355518,77.5942828776749
4001,3,0,819,119,271,200,0.0,88,157,176,1687.35,36,15,169,77,18.946106,73.111356,8.173182,77.665066
1343,3,0,1283,125,280,346,0.0,102,16,315,1290.0,29,5,164,343,18.750621,73.87719,12.930429,79.931163
5289,3,0,651,135,272,119,0.0,156,213,108,25.0,34,15,47,99,10.082622,76.349257,9.960616772167535,76.28550773846042
5848,10,0,589,82,44,35,0.0,127,120,34,49.0,34,15,27,15,16.560192249175344,80.79229309159955,12.711983972934837,77.69108593367848
3732,3,0,540,82,36,213,0.0,127,237,195,40.0,34,15,27,306,16.560192249175344,80.79229309159955,13.199089183304451,77.70855423495904
1710,3,0,288,106,28,334,0.0,21,37,303,2400.0,30,2,159,285,12.425747,79.880083,30.000345,76.732209
4245,3,0,216,23,14,144,0.0,133,246,129,210.0,34,15,92,474,22.917969,72.413979,21.724939,72.886993
1753,3,0,760,14,364,334,0.0,100,93,303,1100.0,13,11,189,810,19.731725,73.812498,12.943751,77.57376
4657,3,0,594,111,343,165,0.0,112,279,150,10.0,34,15,27,364,13.007503209603689,77.66509885593489,12.843107191355518,77.5942828776749
5459,3,0,1473,130,300,122,0.0,141,154,109,401.0,35,15,26,951,22.718758976165876,88.27503623135681,25.641719007694395,88.12781912972429
5490,3,0,1255,73,348,91,0.0,107,234,83,67.4,34,15,60,179,13.167655,80.271159,13.530852,79.996451
2387,22,0,1358,125,280,322,1.0,102,16,291,1290.0,29,5,105,77,18.750621,73.87719,12.930429,79.931163
1679,3,0,689,125,265,334,0.0,97,42,303,1400.0,32,6,94,975,18.750621,73.87719,28.30904,76.969455
1013,3,0,1236,87,154,353,1.0,27,11,320,530.0,2,0,145,75,11.154594,76.922532,13.187219,80.307731
374,11,0,1224,125,138,361,1.0,94,18,329,1300.0,29,2,125,364,18.750621,73.87719,13.087428,80.184717
824,3,0,1271,87,211,355,1.0,27,98,322,400.0,2,0,118,77,11.154594,76.922532,12.746894,77.806168
1848,3,0,1484,68,164,336,0.0,113,217,308,222.0,36,15,26,77,23.52526791608896,87.26442434857088,22.95210237429815,88.45701479607611
1059,3,0,450,56,339,353,1.0,29,13,321,2425.0,29,7,192,77,28.373519,76.835337,12.786517,79.975221
1786,5,0,369,53,202,333,0.0,11,41,304,2205.0,29,28,116,77,13.010768,79.993135,28.463698,77.333878
4928,3,0,593,82,44,151,0.0,127,280,136,24.6,34,15,27,806,16.560192249175344,80.79229309159955,13.01693928244564,77.76302640284463
4622,3,0,155,23,235,144,0.0,133,246,130,25.0,34,15,92,56,22.917969,72.413979,22.926025,72.484986
1604,3,0,267,56,339,343,1.0,29,13,312,2425.0,29,7,159,316,28.373519,76.835337,12.786517,79.975221
3233,3,0,1485,5,240,244,0.0,113,187,220,182.0,34,15,36,927,23.52526791608896,87.26442434857088,22.593220982761597,88.47223261629908
4317,3,0,191,124,81,159,0.0,134,129,144,80.0,34,15,92,364,23.18918,72.552278,23.707225,72.342213
2956,3,0,170,64,339,292,0.0,35,13,263,1900.0,29,7,218,134,22.961777,72.094219,12.786517,79.975221
4615,3,0,1031,131,275,169,0.0,117,135,151,601.0,35,15,26,56,25.497687786396394,85.31407605559771,26.759452,84.45927
2926,3,0,945,131,275,105,0.0,146,135,93,601.0,36,15,26,77,25.609688,85.118112,26.759452,84.45927
5024,3,0,236,134,224,114,0.0,148,191,103,34.0,34,15,78,271,28.215147,77.212834,28.599399,77.02766
2253,3,0,1152,27,202,314,0.0,40,41,285,2054.0,17,28,172,77,13.755692,77.49314,28.463698,77.333878
3090,11,0,1226,106,334,278,0.0,21,380,251,1199.0,29,2,125,810,12.425747,79.880083,18.750621,73.87719
4658,3,0,154,23,324,162,0.0,127,224,146,134.0,34,15,92,364,16.560192249175344,80.79229309159955,22.316674,73.118733
5305,3,0,651,135,272,145,0.0,156,213,131,25.0,34,15,99,7,10.082622,76.349257,9.960616772167535,76.28550773846042
4550,10,0,533,111,1,172,0.0,112,279,156,13.1,34,15,27,77,13.007503209603689,77.66509885593489,12.843107191355518,77.5942828776749
2374,5,0,337,56,174,322,1.0,29,87,291,1000.0,29,7,116,922,28.373519,76.835337,22.961777,72.094219
2034,3,0,568,4,363,326,0.0,41,107,298,667.0,9,18,218,77,12.722686,77.676518,17.603892,78.629944
5581,12,0,1194,73,302,94,0.0,157,363,85,177.0,34,15,60,764,13.167655,80.271159,11.986938,79.773631
5593,12,0,783,61,376,91,0.0,127,166,82,25.0,34,15,74,578,16.560192249175344,80.79229309159955,18.874262,72.957868
4747,3,0,1077,116,306,142,0.0,145,289,128,30.0,36,15,45,398,22.22038110012015,84.8605717192225,22.197295,84.845064
4320,3,0,565,82,371,181,0.0,127,209,164,41.9,34,15,28,364,16.560192249175344,80.79229309159955,12.793505,77.50461
201,3,0,674,125,246,359,0.0,102,97,327,980.0,11,25,20,271,18.750621,73.87719,12.683589,77.859239
3638,3,0,1260,73,350,216,0.0,127,219,197,90.0,34,15,18,274,16.560192249175344,80.79229309159955,12.995898,80.173557
3228,3,0,1376,65,182,247,0.0,119,139,224,70.0,34,15,178,298,17.468016283576617,78.21813291539536,17.541369446793933,78.17759040314228
4289,3,0,598,102,64,184,0.0,88,370,166,951.0,11,15,4,77,19.000914,73.20576,12.896896847817695,77.71222305687486
117,3,0,1327,140,84,359,0.0,8,104,326,525.0,20,20,146,271,9.973636,78.281783,12.223062,76.690357
135,3,0,505,4,142,347,0.0,41,53,316,2230.0,9,18,218,164,12.722686,77.676518,28.373519,76.835337
1640,3,0,1235,87,211,341,1.0,27,98,310,400.0,8,0,5,859,11.154594,76.922532,12.746894,77.806168
1032,3,0,1361,87,246,350,1.0,27,99,318,400.0,2,0,145,77,11.154594,76.922532,12.683589,77.859239
3005,3,0,1085,43,200,272,0.0,127,207,248,81.5,36,15,41,77,16.560192249175344,80.79229309159955,20.078219,86.317392
1629,11,0,1222,125,280,335,0.0,102,16,304,1290.0,29,5,125,77,18.750621,73.87719,12.930429,79.931163
5301,3,0,1376,65,182,149,0.0,151,364,134,70.0,34,15,77,312,17.46628393767336,78.21574685358303,17.580422,78.207737
3609,3,0,513,32,252,107,0.0,106,240,97,64.0,34,15,88,790,26.19229040350968,91.75127677536251,28.512783,77.036893
2828,3,0,467,125,342,303,0.0,97,50,273,1175.0,14,6,191,147,18.750621,73.87719,27.236458,75.91729
5386,3,0,533,82,36,131,0.0,153,237,118,40.0,34,15,27,352,12.992699792116747,77.80384141110859,13.199089183304451,77.70855423495904
4478,3,0,641,111,1,173,0.0,112,279,157,13.1,36,15,26,364,13.007503209603689,77.66509885593489,12.843107191355518,77.5942828776749
3451,3,0,1191,73,350,216,0.0,127,219,197,90.0,34,15,60,299,16.560192249175344,80.79229309159955,12.995898,80.173557
2474,3,0,903,68,373,309,1.0,106,322,269,213.0,36,15,38,928,26.19229040350968,91.75127677536251,26.655095,90.262004
264,5,0,351,56,174,361,1.0,29,87,327,1000.0,29,7,116,77,28.373519,76.835337,22.961777,72.094219
2649,3,0,320,64,339,313,0.0,35,13,282,1900.0,29,7,159,444,22.961777,72.094219,12.786517,79.975221
3287,3,0,1424,113,151,233,0.0,111,216,210,66.0,34,15,95,77,28.658633,77.438643,28.430237,77.859596
4523,3,0,129,61,191,169,0.0,115,116,153,35.0,34,15,76,364,19.02709462686757,73.10997650403301,19.230592,72.866317
1755,3,0,1318,128,174,335,0.0,12,87,304,1900.0,29,7,148,285,12.786517,79.975221,22.961777,72.094219
310,1,0,1238,80,20,362,1.0,42,7,329,350.0,32,27,108,969,12.746894,77.806168,13.092058,80.156813
5447,12,0,537,82,246,123,0.0,153,200,110,48.1,34,15,27,130,12.992699792116747,77.80384141110859,12.73017358940589,77.95620203691567
2467,3,0,1038,68,133,255,0.0,106,265,232,30.0,34,15,38,364,26.19229040350968,91.75127677536251,26.151995,91.746581
2105,3,0,432,106,28,327,0.0,21,37,296,2400.0,30,2,192,140,12.425747,79.880083,30.000345,76.732209
5340,3,0,145,124,123,128,0.0,134,128,115,150.0,34,15,218,114,23.18918,72.552278,24.176119,72.449485
4362,3,0,904,37,161,175,0.0,76,335,158,360.15,36,15,26,578,18.970774,72.808712,21.606548,73.009534
4268,3,0,533,82,36,187,0.0,127,237,170,40.0,34,15,27,77,16.560192249175344,80.79229309159955,13.199089183304451,77.70855423495904
2024,3,0,1189,111,311,331,1.0,112,321,302,12.0,34,15,28,865,13.007503209603689,77.66509885593489,13.0631,77.590597
4352,3,0,559,82,221,179,0.0,127,209,162,24.5,34,15,28,794,16.560192249175344,80.79229309159955,12.871051,77.710869
4203,3,0,137,23,273,186,0.0,127,292,168,115.0,34,15,97,77,16.560192249175344,80.79229309159955,22.445263,73.146762
5103,3,0,510,77,338,113,0.0,149,205,103,56.0,34,15,88,677,28.463698,77.333878,28.367355,76.985908
1270,3,0,415,53,89,345,0.0,11,67,316,2135.0,29,28,156,364,13.010768,79.993135,28.192852,77.249137
2717,10,0,567,46,246,315,1.0,44,97,284,215.0,40,25,152,393,12.671093,77.779537,12.683589,77.859239
4793,3,0,143,23,81,159,0.0,127,129,144,80.0,34,15,92,176,16.560192249175344,80.79229309159955,23.707225,72.342213
1770,22,0,1355,108,334,336,0.0,16,397,305,1200.0,29,5,105,644,12.930429,79.931163,18.750621,73.87719
5154,3,0,1190,73,302,136,0.0,127,377,122,177.0,34,15,60,764,16.560192249175344,80.79229309159955,11.986938,79.773631
3154,3,0,903,51,278,266,0.0,106,138,243,109.0,36,15,38,649,26.19229040350968,91.75127677536251,25.525186,91.867201
2262,22,0,1275,84,71,324,1.0,43,105,297,291.0,29,19,164,77,12.63461,77.722316,13.720071,79.596863
4349,3,0,1260,73,360,180,0.0,127,183,163,90.0,34,15,60,784,16.560192249175344,80.79229309159955,12.829465,80.209822
2862,3,0,1019,82,8,139,0.0,127,159,126,49.0,36,15,26,33,16.560192249175344,80.79229309159955,12.777874729699617,77.64227553734709
2371,3,0,928,106,334,318,0.0,21,380,287,1199.0,29,2,134,861,12.425747,79.880083,18.750621,73.87719
2074,22,0,1278,54,334,328,0.0,19,397,297,1199.0,29,16,164,77,13.087428,80.184717,18.750621,73.87719
4481,3,0,1535,67,164,170,0.0,127,217,154,51.0,36,15,37,364,16.560192249175344,80.79229309159955,22.95210237429815,88.45701479607611
3067,16,0,1307,46,199,283,0.0,44,13,255,400.0,32,7,2,146,12.671093,77.779537,12.767195,80.064668
4169,3,0,584,82,36,139,0.0,153,237,126,40.0,34,15,27,928,12.992699792116747,77.80384141110859,13.199089183304451,77.70855423495904
934,11,0,1225,54,334,354,1.0,18,380,321,1199.0,29,2,125,729,13.087428,80.184717,18.750621,73.87719
5621,12,0,11,66,368,79,0.0,79,281,72,766.5,8,15,66,351,17.829632,83.389622,17.556417,78.099421
3305,3,0,255,95,6,237,0.0,106,191,214,34.0,34,15,78,77,26.19229040350968,91.75127677536251,28.578231,77.04961
2715,10,0,571,46,246,315,1.0,44,97,284,215.0,5,25,152,77,12.671093,77.779537,12.683589,77.859239
4187,3,0,1191,73,205,189,0.0,107,170,171,130.0,34,15,60,77,13.167655,80.271159,12.520054,80.131693
4257,3,0,255,134,66,107,0.0,106,125,97,25.0,34,15,78,77,26.19229040350968,91.75127677536251,28.4272,77.206024
2352,3,0,1484,67,153,271,0.0,127,217,248,51.0,36,15,26,274,16.560192249175344,80.79229309159955,22.95210237429815,88.45701479607611
2356,5,0,377,64,339,320,0.0,36,13,289,1900.0,32,7,116,665,22.961777,72.094219,12.786517,79.975221
1851,11,0,1223,106,334,334,0.0,21,380,303,1199.0,29,2,125,77,12.425747,79.880083,18.750621,73.87719
4671,3,0,509,32,89,160,0.0,106,172,145,25.0,34,15,88,364,26.19229040350968,91.75127677536251,28.192852,77.249137
5116,3,0,1178,86,170,151,0.0,132,375,134,485.0,34,15,75,415,21.158392,79.06733,22.602459,75.55096
4398,3,0,1473,130,164,170,0.0,113,217,154,51.0,35,15,26,764,23.52526791608896,87.26442434857088,22.95210237429815,88.45701479607611
2319,5,0,386,64,339,320,0.0,35,13,289,1900.0,29,7,116,818,22.961777,72.094219,12.786517,79.975221
2072,11,0,1219,106,334,326,0.0,21,380,295,1199.0,29,2,125,299,12.425747,79.880083,18.750621,73.87719
4185,3,0,1260,73,302,188,0.0,127,377,170,177.0,34,15,60,175,16.560192249175344,80.79229309159955,11.986938,79.773631
4842,3,0,1416,113,338,159,0.0,127,205,143,131.0,34,15,95,806,16.560192249175344,80.79229309159955,28.367355,76.985908
2063,5,0,343,56,174,332,1.0,29,87,301,1000.0,32,7,115,140,28.373519,76.835337,22.961777,72.094219
4845,3,0,198,23,46,146,0.0,127,336,131,130.0,34,15,92,420,16.560192249175344,80.79229309159955,22.125272,72.21121
4380,3,0,837,13,18,174,0.0,83,342,157,206.85,36,15,26,578,18.963397,72.820749,20.450445,73.031673
1138,11,0,1227,125,280,346,0.0,102,16,315,1290.0,29,5,125,459,18.750621,73.87719,12.930429,79.931163
4305,3,0,992,20,119,185,0.0,129,258,167,148.0,36,15,35,723,23.67348,86.129379,23.250966,85.241196
65,5,0,340,56,174,363,1.0,29,87,330,1000.0,29,7,115,988,28.373519,76.835337,22.961777,72.094219
1777,3,0,1546,68,164,337,1.0,113,217,304,222.0,36,15,26,77,23.52526791608896,87.26442434857088,22.95210237429815,88.45701479607611
1233,3,0,1008,128,147,347,0.0,13,55,316,2455.0,32,7,192,77,12.786517,79.975221,28.635325,76.693244
2161,0,0,1024,56,174,330,1.0,29,87,299,1000.0,29,7,104,376,28.373519,76.835337,22.961777,72.094219
1521,3,0,287,41,142,338,0.0,15,53,306,2700.0,30,16,159,693,11.874962,79.714747,28.373519,76.835337
3118,3,0,1189,111,1,289,1.0,112,279,261,13.7,34,15,28,44,13.007503209603689,77.66509885593489,12.843107191355518,77.5942828776749
5526,6,0,294,134,224,108,0.0,148,191,98,34.0,36,15,87,806,28.215147,77.212834,28.599399,77.02766
2626,10,0,567,46,211,314,0.0,44,98,283,215.0,40,4,152,147,12.671093,77.779537,12.746894,77.806168
3189,3,0,1527,67,124,252,0.0,106,210,229,67.3,36,15,26,854,26.19229040350968,91.75127677536251,22.86817917823971,88.71562820449084
5547,10,0,548,111,36,102,0.0,154,237,92,31.0,34,15,27,56,13.008064025820861,77.66475541769924,13.199089183304451,77.70855423495904
4497,3,0,130,61,376,91,0.0,127,166,83,25.0,34,15,76,767,16.560192249175344,80.79229309159955,18.874262,72.957868
3922,3,0,1067,43,122,129,0.0,138,215,116,30.0,36,15,41,77,20.606146,85.981534,20.739741724979798,86.11676944223885
3570,3,0,1471,67,124,227,0.0,106,210,205,67.3,34,15,26,77,26.19229040350968,91.75127677536251,22.86817917823971,88.71562820449084
2911,3,0,1037,20,119,296,1.0,129,274,267,148.0,36,15,35,147,23.67348,86.129379,23.250966,85.241196
2703,5,0,340,64,142,311,0.0,35,53,280,900.0,29,7,115,229,22.961777,72.094219,28.373519,76.835337
5167,3,0,1381,65,182,149,0.0,151,364,134,70.0,34,15,77,764,17.46628393767336,78.21574685358303,17.580422,78.207737
3680,3,0,233,95,282,132,0.0,106,182,119,25.0,36,15,78,31,26.19229040350968,91.75127677536251,28.624814,77.21377
5665,12,0,1287,121,302,69,0.0,107,363,64,235.0,25,15,218,500,11.676238,78.013831,11.986938,79.773631
552,8,0,1314,64,339,354,0.0,35,13,322,1900.0,29,7,117,634,22.961777,72.094219,12.786517,79.975221
2326,3,0,1256,73,257,322,1.0,127,328,292,37.0,34,15,60,77,16.560192249175344,80.79229309159955,12.975758,80.130297
4880,10,0,538,111,178,157,0.0,112,307,142,37.2,34,15,27,461,13.007503209603689,77.66509885593489,12.874545,77.430036
